Student,LPIPS,SSIM
112590013.png,0.0,1.0
112590029.png,0.1843041628599167,0.7926087987178102
112590012.png,0.2069844752550125,0.7957771550482192
112590036.png,0.2716269791126251,0.7292552375568384
112590007.png,0.27852898836135864,0.676711285298334
112590038.png,0.2872259020805359,0.7049067651031488
112590017.png,0.2982822358608246,0.6747650615100603
112590041.png,0.30143412947654724,0.6939539158747173
112590023.png,0.3040500283241272,0.7253248836017464
112590060.png,0.30587130784988403,0.6864996202440697
112590044.png,0.3117560148239136,0.6803132983351632
112590014.png,0.32580581307411194,0.6758025329998105
112590005.png,0.3445097506046295,0.6295275843476918
109810011.png,0.3598022758960724,0.6274808205347537
110590456.png,0.3717804253101349,0.6456088626960642
112590004.png,0.373873770236969,0.6671441990286643
112590033.png,0.3805440068244934,0.673586131474167
112ab0053.png,0.3903270363807678,0.6862218485251635
110590041.png,0.3923622667789459,0.6272645009459008
112590035.png,0.4151553809642792,0.6028037893352268
111332012.png,0.41840267181396484,0.6002428978712806
112590022.png,0.4195331931114197,0.6032568639441718
112590009.png,0.4249328076839447,0.5948847427047486
112590025.png,0.4367205500602722,0.5365260012058093
112590026.png,0.4376929998397827,0.5936771048647742
112590021.png,0.4466569423675537,0.5370853587709432
112590057.png,0.4532998204231262,0.5375390782623822
112590020.png,0.4597143232822418,0.5476138500754543
111820017.jpg,0.48085859417915344,0.574640200350469
113378043.png,0.48583346605300903,0.5853767187775335
112590003.png,0.48863258957862854,0.5431871965745756
110820009.png,0.49274030327796936,0.5546396442772923
112590052.png,0.4964922070503235,0.4540658906628878
112590030.png,0.5002380609512329,0.5751906769492148
112590051.png,0.5054187178611755,0.47381006723501845
112590031.png,0.5289929509162903,0.43715126171444635
112590024.png,0.5306196212768555,0.484169539067272
112590018.png,0.5316957235336304,0.44592913085990604
112590053.png,0.548181414604187,0.43251417205295245
